facility_id,name,ct,mri,ct64,ct16_63,ct_under16,mri3t,mri15_3,mri_under15,latest,update,ctannual,mriannual,annualstatus
2001076,医療法人拓誠会 辻村病院,1,0,0,1,0,0,0,0,,,,,
2001084,宇陀市立病院,1,1,1,0,0,0,1,0,,,,,
9801833,奈良県立医科大学附属病院,10,5,8,1,1,4,1,0,,,35322.0,14690.0,VERIFIED_NUMERIC
9901021,独立行政法人国立病院機構やまと精神医療センター,1,1,0,1,0,0,1,0,,,,,
9901278,独立行政法人国立病院機構奈良医療センター,2,1,2,0,0,0,1,0,,,,,
0110108,医療法人浜病院,1,0,0,1,0,0,0,0,,,,,
0110116,医療法人 橋本病院,1,1,1,0,0,0,1,0,,,,,
0110231,医療法人 曙会 和歌浦中央病院,1,0,0,1,0,0,0,0,,,,,
0110454,医療法人弘仁会瀬藤病院,1,0,0,1,0,0,0,0,,,,,
0110496,藤民病院,1,0,0,1,0,0,0,0,,,,,
0110579,福外科病院,1,1,1,0,0,0,1,0,,,,,
0110587,医療法人裕紫会中谷病院,1,0,1,0,0,0,0,0,,,,,
0110611,角谷整形外科病院,1,2,0,1,0,1,1,0,,,,,
0110637,和歌山生協病院,1,1,1,0,0,0,1,0,,,,,
0110660,稲田病院,1,0,0,1,0,0,0,0,,,,,
0110769,医療法人青松会河西田村病院,1,1,0,1,0,0,1,0,,,,,
0110793,西和歌山病院,1,0,0,1,0,0,0,0,,,,,
0110868,医療法人愛晋会　中江病院,1,1,1,0,0,0,1,0,,,,,
0111049,半羽胃腸病院,1,0,0,1,0,0,0,0,,,,,
0111288,向井病院,1,0,0,1,0,0,0,0,,,,,
0111502,星野クリニック,1,0,1,0,0,0,0,0,,,,,
0111510,綿貫整形外科,0,1,0,0,0,0,0,1,,,,,
0111817,医療法人　須佐病院,1,1,0,1,0,0,1,0,,,,,
0111940,高山病院,1,0,0,1,0,0,0,0,,,,,
0112054,医療法人誠佑記念病院,1,0,1,0,0,0,0,0,,,,,
0112229,上山病院,1,0,0,1,0,0,0,0,,,,,
0112641,済生会 和歌山病院,1,1,1,0,0,0,1,0,,,,,
0112823,宇治田循環器科内科,1,0,0,1,0,0,0,0,,,,,
0112831,きのしたクリニック,1,1,0,1,0,0,0,1,,,,,
0112906,紀泉ＫＤクリニック,1,0,0,1,0,0,0,0,,,,,
0112930,古梅記念病院,1,1,0,1,0,0,1,0,,,,,
0112963,今村病院,1,0,0,1,0,0,0,0,,,,,
0113011,独立行政法人労働者健康安全機構和歌山労災病院,2,2,2,0,0,1,1,0,,,,,
0113227,堀口記念病院,1,1,0,1,0,0,1,0,,,,,
0113375,綿貫第二クリニック,0,1,0,0,0,0,0,1,,,,,
0113581,医療法人博文会児玉病院,1,0,0,1,0,0,0,0,,,,,
0113680,医療法人匡慈会伏虎リハビリテーション病院,1,0,0,1,0,0,0,0,,,,,
0113755,向陽　脳とせぼね・循環器内科クリニック,1,1,0,1,0,0,1,0,,,,,
1010141,社会医療法人 博寿会 山本病院,1,0,0,1,0,0,0,0,,,,,
1010265,医療法人南労会紀和病院,1,1,1,0,0,1,0,0,,,,,
1110081,国保野上厚生総合病院,1,1,1,0,0,0,1,0,,,,,
1410051,石本病院,1,0,0,1,0,0,0,0,,,,,
1410135,医療法人 恵友会 恵友病院,1,1,1,0,0,0,1,0,,,,,
1410416,医療法人晃和会谷口病院,1,0,0,1,0,0,0,0,,,,,
1510199,医療法人 大和会 土屋クリニック,1,0,0,1,0,0,0,0,,,,,
1510215,桜ヶ丘病院,1,0,0,1,0,0,0,0,,,,,
