raw_department,facility_count,canonical_keys,canonical_names,status
糖・代謝・内泌内,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖・内分泌・代内,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖代内泌内,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖代謝・内分泌内,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖内】,1,,,UNRESOLVED
糖内】代内,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖内】循内,1,cardiology,循環器内科,MAPPED
糖内・循内,1,cardiology,循環器内科,MAPPED
糖分内,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿・代謝・内分泌内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿・代謝内,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿・内分泌科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿・内分泌）,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・代謝,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・代謝・内分泌・老年内科,1,diabetes_metabolic|geriatrics,糖尿病・代謝内科|老年内科,MAPPED
糖尿病・代謝・内分泌・脂質代謝内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・代謝・内分泌科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・代謝・内分泌）,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・代謝内分泌内,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・代謝内分泌内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・代謝）内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・内分泌,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・内分泌・高血圧内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・内分泌代謝科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・内分泌）内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・甲状腺内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・老年内科,1,diabetes_metabolic|geriatrics,糖尿病・代謝内科|老年内科,MAPPED
糖尿病・脂質代謝・内分泌内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病・脂質代謝内科・老年内科,1,diabetes_metabolic|geriatrics,糖尿病・代謝内科|老年内科,MAPPED
糖尿病・腎臓内科,1,nephrology|diabetes_metabolic,腎臓内科|糖尿病・代謝内科,MAPPED
糖尿病代謝内分泌内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病内内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病内分泌,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病内科・代謝内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
糖尿病内科・内分泌内科・小児泌尿器科,1,pediatric_urology,小児泌尿器科,MAPPED
糖尿病眼科,1,diabetes_metabolic|ophthalmology,糖尿病・代謝内科|眼科,MAPPED
糖尿病透析内科,1,nephrology|diabetes_metabolic,腎臓内科|糖尿病・代謝内科,MAPPED
糖血内,1,hematology,血液内科,MAPPED
結核内科,1,internal_general,内科（総合）,MAPPED
総合,1,,,UNRESOLVED
総合診療科（人工透析）,1,general_practice|nephrology,総合診療科|腎臓内科,MAPPED
総合診療科（内科,1,internal_general|general_practice,内科（総合）|総合診療科,MAPPED
緩ケア内】,1,palliative,緩和ケア,MAPPED
緩ケ外,1,,,UNRESOLVED
緩和ケアリハビリテーション科,1,palliative|rehabilitation,緩和ケア|リハビリテーション科,MAPPED
緩和ケア・ペインクリニック内科,1,palliative|pain,緩和ケア|ペインクリニック,MAPPED
緩和ケア・外科,1,palliative|general_surgery,緩和ケア|外科,MAPPED
緩和ケア・老年内科,1,palliative|geriatrics,緩和ケア|老年内科,MAPPED
緩和ケア内科・疼痛緩和内科,1,palliative|pain,緩和ケア|ペインクリニック,MAPPED
緩和ケア外,1,palliative,緩和ケア,MAPPED
緩和ケア放射線科,1,palliative|radiology,緩和ケア|放射線科,MAPPED
緩和ケ外,1,,,UNRESOLVED
緩和内科,1,,,UNRESOLVED
緩和支持治療科,1,,,UNRESOLVED
美,1,,,UNRESOLVED
美容内,1,,,UNRESOLVED
美容皮膚科（自由診療のみ）,1,cosmetic_dermatology,美容皮膚科,MAPPED
老年・神経内科,1,neurology,脳神経内科,MAPPED
老年内科・腎臓内科・循環器内科・糖尿病内科,1,cardiology|nephrology|diabetes_metabolic|geriatrics,循環器内科|腎臓内科|糖尿病・代謝内科|老年内科,MAPPED
老年心療内,1,psychosomatic,心療内科,MAPPED
老年病科,1,,,UNRESOLVED
老年皮膚科,1,dermatology,皮膚科,MAPPED
老年精神（認知症）,1,psychiatry,精神科,MAPPED
老年緩和ケア内科,1,palliative,緩和ケア,MAPPED
老年脳神経外科,1,neurosurgery,脳神経外科,MAPPED
老年）,1,,,UNRESOLVED
老神内,1,neurology,脳神経内科,MAPPED
老精】,1,psychiatry,精神科,MAPPED
老腫内,1,oncology,腫瘍内科,MAPPED
老齢内科,1,internal_general,内科（総合）,MAPPED
耳い・頭頸外,1,head_neck_surgery|ent,頭頸部外科|耳鼻咽喉科,MAPPED
耳い・頭頸部外,1,head_neck_surgery|ent,頭頸部外科|耳鼻咽喉科,MAPPED
耳下腺・甲状腺外科,1,general_surgery|ent,外科|耳鼻咽喉科,MAPPED
耳咽,1,ent,耳鼻咽喉科,MAPPED
耳鼻咽喉・気管食道科,1,ent,耳鼻咽喉科,MAPPED
耳鼻咽喉・頭頸部）外科,1,general_surgery|ent,外科|耳鼻咽喉科,MAPPED
耳鼻咽喉外科,1,general_surgery|ent,外科|耳鼻咽喉科,MAPPED
耳鼻咽喉科・甲状腺外科,1,general_surgery|ent,外科|耳鼻咽喉科,MAPPED
耳鼻咽喉科頭頚部外科,1,general_surgery|ent,外科|耳鼻咽喉科,MAPPED
耳鼻咽喉科（小児）,1,ent,耳鼻咽喉科,MAPPED
耳鼻咽喉科（気管食道）,1,ent,耳鼻咽喉科,MAPPED
耳鼻咽喉頭頚部外科,1,general_surgery|ent,外科|耳鼻咽喉科,MAPPED
耳鼻咽喉頭頸部外科,1,head_neck_surgery|ent,頭頸部外科|耳鼻咽喉科,MAPPED
耳鼻咽頭科,1,,,UNRESOLVED
肛外】内視内,1,gastroenterology,消化器内科,MAPPED
肛門・大腸外科,1,general_surgery|gi_surgery,外科|消化器外科,MAPPED
肛門内科・外科,1,internal_general|general_surgery,内科（総合）|外科,MAPPED
肛門内科外科,1,internal_general|general_surgery,内科（総合）|外科,MAPPED
肛門消化器内科,1,gastroenterology,消化器内科,MAPPED
肛門科外科,1,general_surgery,外科,MAPPED
肛門科（肛門外科）,1,colorectal_anal_surgery,肛門・大腸外科,MAPPED
肝,1,,,UNRESOLVED
肝胃内,1,gastroenterology,消化器内科,MAPPED
肝胆膵・移植外科,1,general_surgery,外科,MAPPED
肝胆膵内,1,,,UNRESOLVED
肝胆膵外,1,gi_surgery,消化器外科,MAPPED
肝臓・内視鏡・消化器内科,1,gastroenterology,消化器内科,MAPPED
肝臓・糖尿病・内分泌内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
肝臓・糖尿病内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
肝臓・胆のう・すい臓外科,1,general_surgery,外科,MAPPED
肝臓・胆のう・脾臓内科,1,,,UNRESOLVED
肝臓・胆のう・脾臓外科,1,general_surgery,外科,MAPPED
肝臓・胆のう・膵臓内,1,gastroenterology,消化器内科,MAPPED
肝臓・胆嚢・脾臓内科,1,,,UNRESOLVED
肝臓・胆道・膵臓外科,1,general_surgery,外科,MAPPED
肝臓外,1,gi_surgery,消化器外科,MAPPED
肝臓消化器）内科,1,,,UNRESOLVED
肝臓病内科,1,,,UNRESOLVED
肝臓胆のう膵臓内科,1,gastroenterology,消化器内科,MAPPED
肝臓胆のう膵臓外科,1,general_surgery,外科,MAPPED
肝臓胆嚢膵臓外,1,,,UNRESOLVED
肝臓胆嚢膵臓外科,1,general_surgery,外科,MAPPED
肺放射線診断科,1,radiology_diagnostic,放射線診断科,MAPPED
肺腫瘍内科,1,oncology,腫瘍内科,MAPPED
胃・こう内,1,,,UNRESOLVED
胃・こう外,1,colorectal_anal_surgery,肛門・大腸外科,MAPPED
胃・大腸・消化器内科,1,gastroenterology,消化器内科,MAPPED
胃・大腸内視鏡内科,1,gastroenterology,消化器内科,MAPPED
胃内】肛外,1,gastroenterology,消化器内科,MAPPED
胃内（内視）,1,gastroenterology,消化器内科,MAPPED
胃腸・大腸・肛門外科,1,colorectal_anal_surgery,肛門・大腸外科,MAPPED
胃腸・大腸・胆のう・肛門外科,1,colorectal_anal_surgery,肛門・大腸外科,MAPPED
胃腸・大腸内視鏡内科,1,gastroenterology,消化器内科,MAPPED
胃腸・消化器内科（内視鏡）,1,gastroenterology,消化器内科,MAPPED
胃腸・消化器外科,1,gi_surgery,消化器外科,MAPPED
胃腸・肛門内科,1,,,UNRESOLVED
胃腸・肛門科,1,,,UNRESOLVED
胃腸・肝臓・胆のう・膵臓内科,1,gastroenterology,消化器内科,MAPPED
胃腸・肝臓内,1,gastroenterology,消化器内科,MAPPED
胃腸内科・外科,1,general_surgery,外科,MAPPED
胃腸内科・消化器内科,1,gastroenterology,消化器内科,MAPPED
胃腸内科内視鏡,1,gastroenterology,消化器内科,MAPPED
胃腸内（内視鏡）,1,gastroenterology,消化器内科,MAPPED
胃腸外科・肝臓外科・胆のう外科・膵臓外科,1,gi_surgery,消化器外科,MAPPED
胃腸大腸内視鏡内科,1,gastroenterology,消化器内科,MAPPED
胃腸消化器内科,1,gastroenterology,消化器内科,MAPPED
胃腸科（消化器内科）,1,gastroenterology,消化器内科,MAPPED
胃腸肛門内科,1,,,UNRESOLVED
胆のう・肝臓・膵臓外科,1,general_surgery,外科,MAPPED
胆のう・膵臓内科,1,internal_general|gastroenterology,内科（総合）|消化器内科,MAPPED
胆のう外,1,,,UNRESOLVED
胆のう膵臓内科,1,internal_general|gastroenterology,内科（総合）|消化器内科,MAPPED
胆・膵内,1,,,UNRESOLVED
胆内,1,,,UNRESOLVED
胆嚢外,1,,,UNRESOLVED
胆嚢外科,1,general_surgery,外科,MAPPED
胆膵内科,1,internal_general,内科（総合）,MAPPED
胸部・心臓血管外,1,cardiovascular_surgery,心臓血管外科,MAPPED
胸部・血管外科,1,cardiovascular_surgery,心臓血管外科,MAPPED
脂・血内,1,hematology,血液内科,MAPPED
脂質代謝,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
脂質代謝・糖尿病内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
脂質代謝内科）,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
脊椎・脊髄外,1,,,UNRESOLVED
脊椎脊髄外,1,,,UNRESOLVED
脊髄脊椎外科,1,general_surgery,外科,MAPPED
脳・心臓血管内科,1,internal_general|cardiology,内科（総合）|循環器内科,MAPPED
脳・神内,1,neurology,脳神経内科,MAPPED
脳・血管放射線科,1,radiology,放射線科,MAPPED
脳内科,1,internal_general,内科（総合）,MAPPED
脳卒内,1,,,UNRESOLVED
脳神経,1,,,UNRESOLVED
脳神経・血管外科,1,cardiovascular_surgery,心臓血管外科,MAPPED
脳神経病理診断科,1,pathology,病理診断科,MAPPED
脳神経）,1,,,UNRESOLVED
脳脊髄神経外科,1,general_surgery,外科,MAPPED
脳血管内外,1,neurology,脳神経内科,MAPPED
脳血管外,1,cardiovascular_surgery,心臓血管外科,MAPPED
脳血管外科,1,cardiovascular_surgery,心臓血管外科,MAPPED
脳血管救急科,1,emergency,救急科,MAPPED
腎・糖尿病内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
腎・高血内,1,hematology,血液内科,MAPPED
腎不全科,1,,,UNRESOLVED
腎代謝内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
腎内（人透）】,1,nephrology,腎臓内科,MAPPED
腎内（人透）糖内,1,nephrology,腎臓内科,MAPPED
腎泌,1,,,UNRESOLVED
腎移内,1,,,UNRESOLVED
腎移外,1,,,UNRESOLVED
腎移植外科,1,general_surgery,外科,MAPPED
腎移植科,1,,,UNRESOLVED
腎臓リウマチ内,1,nephrology|rheumatology,腎臓内科|リウマチ・膠原病,MAPPED
腎臓・リウマチ内科,1,nephrology|rheumatology,腎臓内科|リウマチ・膠原病,MAPPED
腎臓代謝内科,1,nephrology|diabetes_metabolic,腎臓内科|糖尿病・代謝内科,MAPPED
腎臓内科（人工透析・腎移植）,1,nephrology,腎臓内科,MAPPED
腎臓内科（血液透析・腹膜透析）,1,nephrology,腎臓内科,MAPPED
腎臓外科・泌尿器科,1,general_surgery|urology,外科|泌尿器科,MAPPED
腎臓外科（人工透析・腎移植）,1,general_surgery,外科,MAPPED
腎臓外科（人工透析）,1,general_surgery,外科,MAPPED
腎臓病内科,1,nephrology,腎臓内科,MAPPED
腎臓移植内科,1,nephrology,腎臓内科,MAPPED
腎臓移植泌尿器科,1,urology,泌尿器科,MAPPED
腎臓糖尿病内科,1,nephrology|diabetes_metabolic,腎臓内科|糖尿病・代謝内科,MAPPED
腎臓）内科,1,nephrology,腎臓内科,MAPPED
腎透内,1,nephrology,腎臓内科,MAPPED
腎／高血圧内科,1,internal_general,内科（総合）,MAPPED
腫ひ,1,,,UNRESOLVED
腫傷内科,1,internal_general,内科（総合）,MAPPED
腫内】,1,oncology,腫瘍内科,MAPPED
腫婦,1,,,UNRESOLVED
腫整,1,,,UNRESOLVED
腫整外,1,,,UNRESOLVED
腫疼緩内,1,palliative,緩和ケア,MAPPED
腫瘍・疼痛緩和外科,1,general_surgery|pain,外科|ペインクリニック,MAPPED
腫瘍内科・緩和ケア内科,1,oncology|palliative,腫瘍内科|緩和ケア,MAPPED
腫瘍内科・腫瘍外科,1,oncology|general_surgery,腫瘍内科|外科,MAPPED
腫瘍内科腎臓内科内分泌代謝内科老年内科緩和ケア内科,1,nephrology|diabetes_metabolic|oncology|palliative|geriatrics,腎臓内科|糖尿病・代謝内科|腫瘍内科|緩和ケア|老年内科,MAPPED
腫瘍内科（化学療法）,1,oncology,腫瘍内科,MAPPED
腫瘍循環器科,1,,,UNRESOLVED
腫瘍放,1,,,UNRESOLVED
腫瘍泌尿器科,1,urology,泌尿器科,MAPPED
腫皮,1,,,UNRESOLVED
腹外,1,,,UNRESOLVED
腹膜透析）,1,,,UNRESOLVED
腹透,1,,,UNRESOLVED
腹部,1,,,UNRESOLVED
腹部外,1,,,UNRESOLVED
腹部救急科,1,emergency,救急科,MAPPED
膠リウ内,1,,,UNRESOLVED
膠内,1,,,UNRESOLVED
膠原,1,,,UNRESOLVED
膠原内科,1,,,UNRESOLVED
膠原病リュウマチ内科,1,,,UNRESOLVED
膠原病・アレルギー内科,1,allergy,アレルギー,MAPPED
膠原病・リウマチ・アレルギー内科,1,rheumatology|allergy,リウマチ・膠原病|アレルギー,MAPPED
膠原病・リウマチ・アレルギー科,1,rheumatology|allergy,リウマチ・膠原病|アレルギー,MAPPED
膠原病・リウマチ内,1,rheumatology,リウマチ・膠原病,MAPPED
膠原病・リュウマチ内科,1,,,UNRESOLVED
膠原病内,1,rheumatology,リウマチ・膠原病,MAPPED
膵・胆道内科,1,internal_general,内科（総合）,MAPPED
膵臓,1,,,UNRESOLVED
膵臓・消化器内科,1,gastroenterology,消化器内科,MAPPED
膵臓・胆のう内科,1,internal_general,内科（総合）,MAPPED
膵臓・胆嚢内科,1,internal_general,内科（総合）,MAPPED
膵臓胆嚢外,1,,,UNRESOLVED
臨床検,1,lab_medicine,臨床検査科,MAPPED
臨床検査医学科,1,lab_medicine,臨床検査科,MAPPED
臨床腫瘍,1,lab_medicine,臨床検査科,MAPPED
臨床薬理内科,1,internal_general|lab_medicine,内科（総合）|臨床検査科,MAPPED
臨検査,1,lab_medicine,臨床検査科,MAPPED
薬物療法内科,1,internal_general,内科（総合）,MAPPED
血,1,,,UNRESOLVED
血液・アレルギー・糖尿病内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
血液・アレルギー科,1,allergy,アレルギー,MAPPED
血液・リウマチ科,1,rheumatology,リウマチ・膠原病,MAPPED
血液・リウマチ膠原病科,1,rheumatology,リウマチ・膠原病,MAPPED
血液・感染症内科,1,infectious,感染症内科,MAPPED
血液・腫瘍,1,,,UNRESOLVED
血液外科,1,general_surgery,外科,MAPPED
血液小児科,1,pediatrics,小児科,MAPPED
血液浄化療法科（人工透析内科）,1,nephrology,腎臓内科,MAPPED
血液腎臓内科,1,nephrology,腎臓内科,MAPPED
血液腫瘍,1,,,UNRESOLVED
血液腫瘍外科,1,general_surgery,外科,MAPPED
血管,1,,,UNRESOLVED
血管放,1,,,UNRESOLVED
血管透析内科,1,nephrology,腎臓内科,MAPPED
血菅外,1,,,UNRESOLVED
診療内科,1,internal_general,内科（総合）,MAPPED
認知症内科,1,internal_general,内科（総合）,MAPPED
誤って削除の申し,1,,,UNRESOLVED
透,1,,,UNRESOLVED
透・血管外,1,cardiovascular_surgery,心臓血管外科,MAPPED
透析リハビリテーション科,1,rehabilitation,リハビリテーション科,MAPPED
透析内科（人工透析）,1,nephrology,腎臓内科,MAPPED
透析内科（血液透析,1,nephrology,腎臓内科,MAPPED
透析外来,1,,,UNRESOLVED
透析泌尿器科,1,urology,泌尿器科,MAPPED
透析科,1,,,UNRESOLVED
透析）,1,,,UNRESOLVED
透析）内科,1,,,UNRESOLVED
遺伝診療科,1,,,UNRESOLVED
鏡外,1,,,UNRESOLVED
鏡外（胃・大）,1,,,UNRESOLVED
関節リウマチ科,1,rheumatology,リウマチ・膠原病,MAPPED
集治,1,,,UNRESOLVED
頚頭部外科,1,general_surgery,外科,MAPPED
頭・耳い,1,ent,耳鼻咽喉科,MAPPED
頭部皮膚科,1,dermatology,皮膚科,MAPPED
頭頚外,1,,,UNRESOLVED
頭頚部・耳鼻咽喉科,1,ent,耳鼻咽喉科,MAPPED
頭頸・耳,1,ent,耳鼻咽喉科,MAPPED
頭頸部・甲状腺外科,1,general_surgery,外科,MAPPED
頭頸部・耳鼻いんこう科,1,ent,耳鼻咽喉科,MAPPED
頭頸部・耳鼻咽頭科,1,,,UNRESOLVED
頭頸部内科,1,internal_general,内科（総合）,MAPPED
頭頸部外科（腫瘍／がん）,1,head_neck_surgery,頭頸部外科,MAPPED
頭頸部耳鼻いんこう科,1,ent,耳鼻咽喉科,MAPPED
頭頸部腫瘍・耳鼻咽喉科,1,ent,耳鼻咽喉科,MAPPED
頸部臨床検査科,1,lab_medicine,臨床検査科,MAPPED
食・胃外科,1,general_surgery|gi_surgery,外科|消化器外科,MAPPED
食道・胃・大腸外科,1,general_surgery|gi_surgery,外科|消化器外科,MAPPED
食道・胃腸・小腸・大腸内科,1,,,UNRESOLVED
骨盤底リハビリテーション科,1,rehabilitation,リハビリテーション科,MAPPED
骨軟部腫瘍・整形外科,1,orthopedics,整形外科,MAPPED
骨軟部腫瘍外科,1,general_surgery,外科,MAPPED
高血圧・腎臓内科,1,nephrology,腎臓内科,MAPPED
高血圧糖尿病内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
高齢内,1,,,UNRESOLVED
高齢医学科,1,,,UNRESOLVED
高齢者救急科,1,emergency,救急科,MAPPED
高齢者歯科,1,,,UNRESOLVED
高齢者皮ふ科,1,,,UNRESOLVED
高齢者精神科,1,psychiatry,精神科,MAPPED
麻酔科・ペインクリニック,1,anesthesiology|pain,麻酔科|ペインクリニック,MAPPED
麻酔科（ペインクリニック内科）,1,internal_general|anesthesiology|pain,内科（総合）|麻酔科|ペインクリニック,MAPPED
麻酔科（ペインクリニック科）,1,anesthesiology|pain,麻酔科|ペインクリニック,MAPPED
（主）ペインクリニック内科,1,internal_general|pain,内科（総合）|ペインクリニック,MAPPED
（主）糖尿病内科,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
（乳腺,1,breast_surgery,乳腺外科,MAPPED
（人工透析,1,nephrology,腎臓内科,MAPPED
（人透）,1,,,UNRESOLVED
（内分泌,1,,,UNRESOLVED
（分）小,1,,,UNRESOLVED
（呼）小,1,,,UNRESOLVED
（小）心内,1,,,UNRESOLVED
（循環器内科）,1,cardiology,循環器内科,MAPPED
（感染症,1,,,UNRESOLVED
（感）小,1,,,UNRESOLVED
（新）内,1,,,UNRESOLVED
（消化器・乳腺）外科,1,general_surgery,外科,MAPPED
（漢方,1,,,UNRESOLVED
（生殖医療）,1,,,UNRESOLVED
（糖尿病,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
（糖尿病・代謝,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
（糖尿病内分泌,1,diabetes_metabolic,糖尿病・代謝内科,MAPPED
（肝臓・呼吸器・循環器内科,1,cardiology|respiratory,循環器内科|呼吸器内科,MAPPED
（胃・大腸・肛）外,1,,,UNRESOLVED
（胃腸,1,,,UNRESOLVED
（腎臓・内分泌・糖尿病代謝・緩和ケア）内科,1,nephrology|diabetes_metabolic|palliative,腎臓内科|糖尿病・代謝内科|緩和ケア,MAPPED
（腫瘍,1,,,UNRESOLVED
（血液・腫瘍,1,,,UNRESOLVED
