pref_code,facility_code,map_type,map_name,standard_name,standard_address,in_equipment_master,CT_confirmed_detail,MRI_confirmed_detail,CT_detail_classes,MRI_detail_classes,standard_latest_start_date,detail_status,medical_info_net_ID,medical_info_net_name,medical_info_net_address,medical_info_match_method,medical_info_detail_url,next_action,medical_info_kikanCd,medical_info_detail_url_corrected,medical_info_audit_status,medical_info_ct_count,medical_info_ctannual,medical_info_mriannual
08,0114942,無床診療所,脳神経外科山田醫院,脳神経外科山田醫院,水戸市渡里町２６８９－１,False,False,False,,,令和 3年 1月 1日,装置種別未確定,082208515274,脳神経外科山田醫院,茨城県水戸市渡里町２６８９−１,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208515274&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208515274,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208515274&kikanKbn=2&prefCd=08,CT保有台数確認,1,,
08,0115055,無床診療所,小野クリニック,小野クリニック,水戸市元吉田町２５７６番地６,False,False,False,,,令和 6年 5月 1日,装置種別未確定,,,,,,ID再照合,,,,,,
08,0115204,無床診療所,水戸心臓血管クリニック,水戸心臓血管クリニック,水戸市姫子２丁目７３２－３,False,False,False,,,平成29年 8月 1日,装置種別未確定,082208712565,水戸心臓血管クリニック,茨城県水戸市姫子２－７３２－３,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208712565&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208712565,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208712565&kikanKbn=2&prefCd=08,CT保有台数確認,1,,
08,0115576,無床診療所,見和中央クリニック,見和中央クリニック,水戸市見和１丁目３３６－６,False,False,False,,,令和 2年10月 1日,装置種別未確定,082208712448,見和中央クリニック,茨城県水戸市見和１－３３６－６,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208712448&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208712448,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208712448&kikanKbn=2&prefCd=08,CT保有台数確認,1,,
08,0115899,無床診療所,黒澤腎臓内科クリニック,黒澤腎臓内科クリニック,水戸市笠原町１７９７－２,False,False,False,,,令和 7年10月 1日,装置種別未確定,082208311489,黒澤腎臓内科クリニック,茨城県水戸市笠原町１７９７－２,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208311489&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208311489,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208311489&kikanKbn=2&prefCd=08,CT保有台数確認,1,,
08,0210104,無床診療所,株式会社日立製作所 日立健康管理センタ,株式会社日立製作所　日立健康管理センタ,日立市会瀬町４－３－１６,False,False,False,,,平成29年 2月 1日,装置種別未確定,,,,,,ID再照合,,,,,,
08,0210484,無床診療所,日立北クリニック,日立北クリニック,日立市川尻町５－２９－１５,False,False,False,,,平成29年 1月 1日,装置種別未確定,082208551063,日立北クリニック,茨城県日立市川尻町５－２９－１５,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208551063&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208551063,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208551063&kikanKbn=2&prefCd=08,CT保有台数確認,1,,
08,0211326,無床診療所,日立さくらクリニック,日立さくらクリニック,日立市田尻町４ー４９ー１５,False,False,False,,,令和 5年 3月 1日,装置種別未確定,082208551135,医療法人日立さくらクリニック,茨城県日立市田尻町４丁目４９－１５,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208551135&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208551135,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208551135&kikanKbn=2&prefCd=08,CT保有台数確認,1,,
08,0211615,無床診療所,わだクリニック,わだクリニック,日立市東金沢町５－６－１８,False,False,False,,,平成30年 4月 1日,装置種別未確定,,,,,,ID再照合,,,,,,
08,0211813,無床診療所,ないとうクリニック,ないとうクリニック,日立市東滑川町２丁目２３番３号,False,False,False,,,令和 7年10月 1日,装置種別未確定,082208551975,ないとうクリニック,茨城県日立市東滑川町２－２３－３,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208551975&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208551975,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208551975&kikanKbn=2&prefCd=08,CT保有台数確認,1,,
