region_code,都道府県,地域,ACTIVITY_v28,ACTIVITY_v29,ACTIVITY差,CURRENT_SUPPLY_v28,CURRENT_SUPPLY_v29,CURRENT_SUPPLY差,ACTIVITY充足率_v28,ACTIVITY充足率_v29,手術型β,手術データ充足率,救急型β,救急データ充足率,入院型β,入院データ充足率,活動プロファイル
36405,徳島県,上板町,-1.0,,,-0.050224962829767246,0.467834148353996,0.5180591111837632,0.3333333333333333,0.0,,0,,0,,0,データ不足
26213,京都府,南丹市,0.95,2.0,1.05,0.9615655502454284,1.2765655502454285,0.31500000000000006,0.6666666666666666,0.6499999999999999,2.0,1,2.0,1,,0,複合型
26465,京都府,与謝野町,0.95,2.0,1.05,0.6965866143147768,1.0115866143147767,0.31499999999999995,0.6666666666666666,0.6499999999999999,2.0,1,2.0,1,,0,複合型
26105,京都府,京都市東山区,0.95,2.0,1.05,1.491973214483173,1.806973214483173,0.31499999999999995,0.6666666666666666,0.6499999999999999,2.0,1,2.0,1,,0,複合型
26102,京都府,京都市上京区,0.95,2.0,1.05,1.5112475193636965,1.8262475193636964,0.31499999999999995,0.6666666666666666,0.6499999999999999,2.0,1,2.0,1,,0,複合型
37403,香川県,琴平町,0.4584295788522552,1.2437378136188544,0.7853082347665992,0.7504544066734652,0.986046877103445,0.23559247042997977,0.6666666666666666,0.6499999999999999,2.0,1,0.36143192950751746,1,,0,手術型
26203,京都府,綾部市,0.41162487450831575,1.1717305761666397,0.7601057016583239,0.21811790991987273,0.4461496204173699,0.22803171049749715,0.6666666666666666,0.6499999999999999,1.5929385208134224,1,0.68032130741206,1,,0,手術型
26104,京都府,京都市中京区,0.38627977204218134,1.1327381108341252,0.7464583387919439,0.5334802481377228,0.757417749775306,0.2239375016375832,0.6666666666666666,0.6499999999999999,1.4872726974430877,1,0.7191144264570024,1,,0,手術型
11365,埼玉県,小鹿野町,0.36865155960469426,1.1056177840072219,0.7369662244025277,0.2345472203462585,0.45563708766701677,0.22108986732075828,0.6666666666666666,0.6499999999999999,2.0,1,0.06217186534898089,1,,0,手術型
07521,福島県,三春町,-0.6662548333380373,-0.04644238096582088,0.6198124523722164,-0.35891113694459226,-0.14015380081322182,0.21875733613137044,0.3333333333333333,0.35,,0,,0,-0.04644238096582087,1,入院型（参考）
