pref_code,facility_id,facility_name_map,name,ct,mri,ct64,ct16_63,ct_under16,mri3t,mri15_3,mri_under15,latest,update,ctannual,mriannual,annualstatus
13,5770011,地方独立行政法人 東京都立病院機構 東京都立大久保病院,地方独立行政法人東京都立病院機構　東京都立大久保病院,2,1,1,1,0,0,1,0,,,,,
13,3870151,地方独立行政法人 東京都立病院機構 東京都立小児総合医療センター,地方独立行政法人東京都立病院機構　東京都立小児総合医療センター,1,1,1,0,0,0,1,0,,,,,
13,5570007,地方独立行政法人 東京都立病院機構 東京都立松沢病院,地方独立行政法人東京都立病院機構　東京都立松沢病院,2,1,2,0,0,1,0,0,,,,,
13,3870144,地方独立行政法人 東京都立病院機構 東京都立神経病院,地方独立行政法人東京都立病院機構　東京都立神経病院,1,2,1,0,0,1,1,0,,,,,
13,2770113,地方独立行政法人 東京都立病院機構 東京都立多摩北部医療センター,地方独立行政法人東京都立病院機構　東京都立多摩北部医療センター,3,1,2,0,0,0,1,0,,,,,
13,2071009,公益社団法人 地域医療振興協会 練馬光が丘病院,公益社団法人地域医療振興協会練馬光が丘病院,3,2,2,1,0,1,1,0,,,,,
13,2171585,医療法人社団 福寿会 福寿会病院,医療法人社団福寿会　福寿会病院,1,1,0,1,0,0,1,0,,,,,
13,2171601,医療法人社団 苑田会 苑田会ニューロリハビリテーション病院,医療法人社団苑田会　苑田会ニューロリハビリテーション病院,1,0,0,1,0,0,0,0,,,,,
13,4770145,医療法人財団 きよせ旭が丘記念病院,医療法人財団きよせ旭が丘記念病院,1,1,0,1,0,0,1,0,,,,,
13,5870001,桜十字白金リハビリテーション病院,桜十字白金リハビリテーション病院,1,0,0,1,0,0,0,0,,,,,
13,1870922,令和あらかわ病院,令和あらかわ病院,1,1,0,1,0,0,1,0,,,,,
13,2371128,医療法人社団 城東桐和会 タムス瑞江病院,医療法人社団城東桐和会　タムス瑞江病院,1,1,1,0,0,0,1,0,,,,,
13,5170048,医療法人社団 慶晃会 南山リハビリテーション病院,医療法人社団慶晃会　南山リハビリテーション病院,1,0,1,0,0,0,0,0,,,,,
13,3270923,医療法人社団 幸隆会 多摩丘陵病院,医療法人社団幸隆会　多摩丘陵病院,1,1,1,0,0,0,1,0,,,,,
13,2171593,医療法人社団 苑田会 竹の塚脳神経リハビリテーション病院,医療法人社団苑田会 竹の塚脳神経リハビリテーション病院,1,0,0,1,0,0,0,0,,,,,
13,2070993,医療法人社団 慈誠会 慈誠会・練馬高野台病院,医療法人社団慈誠会　慈誠会・練馬高野台病院,1,0,1,0,0,0,0,0,,,,,
13,4370078,医療法人社団晃悠会 むさしの救急病院,むさしの救急病院,1,1,1,0,0,1,0,0,,,,,
13,5970009,杏林大学医学部付属杉並病院,杏林大学医学部付属杉並病院,3,2,3,0,0,1,1,0,,,,,
13,2171635,医療法人社団福寿会 みらいリハビリテーション病院,医療法人社団福寿会　みらいリハビリテーション病院,1,0,1,0,0,0,0,0,,,,,
13,2071033,医療法人社団 慈誠会 慈誠会・光が丘病院,医療法人社団慈誠会　慈誠会・光が丘病院,1,0,0,1,0,0,0,0,,,,,
13,5670062,医療法人社団 七仁会 田園調布中央病院,医療法人社団七仁会　田園調布中央病院,1,1,1,0,0,0,1,0,,,,,
13,5970017,社会医療法人河北医療財団 河北総合病院,社会医療法人河北医療財団　河北総合病院,2,2,2,0,0,1,1,0,,,,,
13,5970025,医療法人社団城東桐和会 タムス杉並病院,医療法人社団城東桐和会　タムス杉並病院,1,0,0,1,0,0,0,0,,,,,
13,2071025,医療法人社団 忠医会 忠医会病院,医療法人社団忠医会　忠医会病院,1,0,0,1,0,0,0,0,,,,,
14,0102798,汐田総合病院,汐田総合病院,2,1,1,1,0,0,1,0,,,,,
14,0102228,医療法人社団 片山整形外科記念病院,医療法人社団 片山整形外科記念病院,1,1,0,1,0,0,0,1,,,,,
